date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jul%202025%2009:19:32%20GMT	http://pakasiatransportcompany.com.pk/robots.txt		(from )
14:18:37	45207/45207	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20May%202024%2005:53:41%20GMT	http://pakasiatransportcompany.com.pk/	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/index.html	(from )
14:18:38	2936/2936	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2022:43:12%20GMT	http://pakasiatransportcompany.com.pk/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/lib/owlcarousel/assets/owl.carousel.min.css	(from http://pakasiatransportcompany.com.pk/)
14:18:38	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f735d97-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.0/css/all.min.css	C:/My%20Web%20Sites/PAKASIALIMO/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.0/css/all.min.css	(from http://pakasiatransportcompany.com.pk/)
14:18:39	139315/139315	---M--	200	added ('OK')	text/css	date:Sat,%2004%20May%202024%2008:48:32%20GMT	http://pakasiatransportcompany.com.pk/css/bootstrap.min.css	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/css/bootstrap.min.css	(from http://pakasiatransportcompany.com.pk/)
14:18:41	5972/5972	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Apr%202024%2018:50:20%20GMT	http://pakasiatransportcompany.com.pk/css/style.css	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/css/style.css	(from http://pakasiatransportcompany.com.pk/)
14:18:42	232948/232948	---MCZ	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/PAKASIALIMO/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from http://pakasiatransportcompany.com.pk/)
14:18:43	51200/51200	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Apr%202024%2021:22:34%20GMT	http://pakasiatransportcompany.com.pk/img/top-logo.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/top-logo.png	(from http://pakasiatransportcompany.com.pk/)
14:18:53	63269/63269	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2004:47:30%20GMT	http://pakasiatransportcompany.com.pk/img/about.png	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/about.png	(from http://pakasiatransportcompany.com.pk/)
14:18:56	86968/86968	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20May%202021%2012:03:42%20GMT	http://pakasiatransportcompany.com.pk/img/carousel-2.jpg	C:/My%20Web%20Sites/PAKASIALIMO/pakasiatransportcompany.com.pk/img/carousel-2.jpg	(from http://pakasiatransportcompany.com.pk/)
